id,prop_vac,census_tract,estimate,numb_biz,n_vac
2531,0,Census Tract 729 Queens County,48750,7,NA
2532,0.02173913043,Census Tract 711 Queens County,45946,46,1
2533,0,Census Tract 731 Queens County,46607,20,NA
2534,0,Census Tract 737 Queens County,50809,75,NA
2535,0.1866666667,Census Tract 737 Queens County,50809,75,14
2536,0.05,Census Tract 731 Queens County,46607,20,1
2537,0.3333333333,Census Tract 723 Queens County,61020,3,1
2538,0,Census Tract 769.01 Queens County,63090,8,NA
2539,0,Census Tract 775 Queens County,50369,25,NA
2540,0.08,Census Tract 775 Queens County,50369,25,2
2541,0,Census Tract 136 Queens County,42083,18,NA
2542,0.05555555556,Census Tract 136 Queens County,42083,18,1
2543,0.1111111111,Census Tract 769.02 Queens County,55096,18,2
2544,0,Census Tract 769.02 Queens County,55096,18,NA
2545,0,Census Tract 773 Queens County,47694,1,NA
2546,0.2727272727,Census Tract 138 Queens County,32565,11,3
2547,0,Census Tract 138 Queens County,32565,11,NA
2548,0,Census Tract 216 Queens County,36944,15,NA
2549,0,Census Tract 593 Queens County,33783,16,NA
2550,0,Census Tract 539 Queens County,32238,11,NA
2551,0,Census Tract 591 Queens County,28865,14,NA
2552,0,Census Tract 589 Queens County,31115,20,NA
2553,0.07142857143,Census Tract 591 Queens County,28865,14,1
2554,0.09090909091,Census Tract 539 Queens County,32238,11,1
2555,0,Census Tract 545 Queens County,26871,12,NA
2556,0.08333333333,Census Tract 545 Queens County,26871,12,1
2557,0,Census Tract 547 Queens County,26552,24,NA
2558,0.04166666667,Census Tract 547 Queens County,26552,24,1
2559,0,Census Tract 549 Queens County,26567,43,NA
2560,0.1860465116,Census Tract 549 Queens County,26567,43,8
2561,0,Census Tract 551 Queens County,31783,68,NA
2562,0.1911764706,Census Tract 551 Queens County,31783,68,13
2563,0.25,Census Tract 589 Queens County,31115,20,5
2564,0,Census Tract 585 Queens County,32069,17,NA
2565,0,Census Tract 587 Queens County,36261,19,NA
2566,0,Census Tract 583 Queens County,36548,28,NA
2567,0.07142857143,Census Tract 583 Queens County,36548,28,2
2568,0.1052631579,Census Tract 587 Queens County,36261,19,2
2569,0,Census Tract 559 Queens County,33571,14,NA
2570,0,Census Tract 555 Queens County,30448,19,NA
2571,0,Census Tract 553 Queens County,25553,40,NA
2572,0.1,Census Tract 553 Queens County,25553,40,4
2573,0.05263157895,Census Tract 555 Queens County,30448,19,1
2574,0,Census Tract 565 Queens County,30081,6,NA
2575,0,Census Tract 557 Queens County,32808,28,NA
2576,0.25,Census Tract 557 Queens County,32808,28,7
2577,0,Census Tract 567 Queens County,36755,3,NA
2578,0,Census Tract 577 Queens County,28519,30,NA
2579,0.06666666667,Census Tract 577 Queens County,28519,30,2
2580,0,Census Tract 613.01 Queens County,30767,45,NA
2581,0.04444444444,Census Tract 613.01 Queens County,30767,45,2
2582,0,Census Tract 581 Queens County,35876,21,NA
2583,0.1428571429,Census Tract 581 Queens County,35876,21,3
2584,1,Census Tract 579 Queens County,29340,1,1
2585,0,Census Tract 627 Queens County,34202,16,NA
2586,0,Census Tract 625 Queens County,36218,10,NA
2587,0.1875,Census Tract 627 Queens County,34202,16,3
2588,0.3,Census Tract 625 Queens County,36218,10,3
2589,0,Census Tract 623 Queens County,39939,4,NA
2590,0.5,Census Tract 623 Queens County,39939,4,2
2591,0,Census Tract 629 Queens County,30677,24,NA
2592,0.125,Census Tract 629 Queens County,30677,24,3
2593,0,Census Tract 619 Queens County,33615,22,NA
2594,0.04545454545,Census Tract 619 Queens County,33615,22,1
2595,0,Census Tract 621 Queens County,31152,17,NA
2596,0,Census Tract 633.01 Queens County,40546,9,NA
2597,0.1111111111,Census Tract 633.01 Queens County,40546,9,1
2598,0,Census Tract 633.02 Queens County,32633,6,NA
2599,1,Census Tract 635 Queens County,36809,1,1
2600,0,Census Tract 639 Queens County,30996,8,NA
2601,0,Census Tract 641.02 Queens County,NA,1,NA
2602,0,Census Tract 645 Queens County,39591,20,NA
2603,0.1,Census Tract 645 Queens County,39591,20,2
2604,0,Census Tract 939 Queens County,33031,2,NA
2605,0,Census Tract 929 Queens County,31003,25,NA
2606,0,Census Tract 947 Queens County,26677,20,NA
2607,0,Census Tract 945 Queens County,30325,38,NA
2608,0.07894736842,Census Tract 945 Queens County,30325,38,3
2609,0.08,Census Tract 929 Queens County,31003,25,2
2610,0,Census Tract 925 Queens County,25774,65,NA
2611,0.07692307692,Census Tract 925 Queens County,25774,65,5
2612,0.05,Census Tract 947 Queens County,26677,20,1
2613,0,Census Tract 919 Queens County,20418,22,NA
2614,0.09090909091,Census Tract 919 Queens County,20418,22,2
2615,0,Census Tract 907 Queens County,27188,27,NA
2616,0,Census Tract 889.01 Queens County,30649,24,NA
2617,0.07407407407,Census Tract 907 Queens County,27188,27,2
2618,0.1666666667,Census Tract 889.01 Queens County,30649,24,4
2619,0,Census Tract 869 Queens County,21062,173,NA
2620,0,Census Tract 981 Queens County,41865,51,NA
2621,0.01960784314,Census Tract 981 Queens County,41865,51,1
2622,0,Census Tract 987 Queens County,36952,43,NA
2623,0.1162790698,Census Tract 987 Queens County,36952,43,5
2624,0,Census Tract 991 Queens County,49055,1,NA
2625,0,Census Tract 1039 Queens County,32289,17,NA
2626,0,Census Tract 1047 Queens County,26359,11,NA
2627,0,Census Tract 1033 Queens County,29102,4,NA
2628,0,Census Tract 1029 Queens County,27180,4,NA
2629,0.25,Census Tract 1029 Queens County,27180,4,1
2630,0,Census Tract 1017 Queens County,43750,42,NA
2631,0.09090909091,Census Tract 1047 Queens County,26359,11,1
2632,0,Census Tract 1159 Queens County,23429,6,NA
2633,0,Census Tract 1059 Queens County,36938,4,NA
2634,0,Census Tract 1141 Queens County,37738,1,NA
2635,0,Census Tract 1139 Queens County,31463,18,NA
2636,0.1040462428,Census Tract 869 Queens County,21062,173,18
2637,0,Census Tract 871 Queens County,25302,188,NA
2638,0.06382978723,Census Tract 871 Queens County,25302,188,12
2639,0,Census Tract 1157 Queens County,24647,30,NA
2640,0,Census Tract 1163 Queens County,17060,21,NA
2641,0.1428571429,Census Tract 1163 Queens County,17060,21,3
2642,0,Census Tract 865 Queens County,20913,22,NA
2643,0,Census Tract 853 Queens County,20337,49,NA
2644,0.04081632653,Census Tract 853 Queens County,20337,49,2
2645,0.04545454545,Census Tract 865 Queens County,20913,22,1
2646,0,Census Tract 855 Queens County,19505,14,NA
2647,0.1428571429,Census Tract 855 Queens County,19505,14,2
2648,0,Census Tract 863 Queens County,20022,1,NA
2649,0,Census Tract 1167 Queens County,19067,28,NA
2650,0.06666666667,Census Tract 1157 Queens County,24647,30,2
2651,0.08045977011,Census Tract 849 Queens County,18223,87,7
2652,0,Census Tract 849 Queens County,18223,87,NA
2653,0.07142857143,Census Tract 1167 Queens County,19067,28,2
2654,0,Census Tract 797.02 Queens County,20764,24,NA
2655,0.08333333333,Census Tract 797.02 Queens County,20764,24,2
2656,0,Census Tract 799 Queens County,25107,19,NA
2657,0,Census Tract 797.01 Queens County,26111,11,NA
2658,0.2727272727,Census Tract 797.01 Queens County,26111,11,3
2659,0.1428571429,Census Tract 845 Queens County,19960,14,2
2660,0,Census Tract 845 Queens County,19960,14,NA
2661,0,Census Tract 857 Queens County,21059,12,NA
2662,0.08333333333,Census Tract 857 Queens County,21059,12,1
2663,0,Census Tract 859 Queens County,18970,14,NA
2664,0.2142857143,Census Tract 859 Queens County,18970,14,3
2665,0,Census Tract 861 Queens County,23438,13,NA
2666,0.1538461538,Census Tract 861 Queens County,23438,13,2
2667,0,Census Tract 1205 Queens County,16229,10,NA
2668,0,Census Tract 1201 Queens County,21483,4,NA
2669,0,Census Tract 1155 Queens County,31667,22,NA
2670,0.09090909091,Census Tract 1155 Queens County,31667,22,2
2671,0,Census Tract 1171 Queens County,26838,138,NA
2672,0.115942029,Census Tract 1171 Queens County,26838,138,16
2673,0,Census Tract 1175 Queens County,35272,24,NA
2674,0.125,Census Tract 1175 Queens County,35272,24,3
2675,0,Census Tract 1189 Queens County,21888,4,NA
2676,0,Census Tract 1181 Queens County,35756,15,NA
2677,1,Census Tract 1187 Queens County,22256,1,1
2678,0,Census Tract 1185 Queens County,23045,17,NA
2679,0.1764705882,Census Tract 1185 Queens County,23045,17,3
2680,0,Census Tract 1191 Queens County,25564,29,NA
2681,0.2,Census Tract 1193 Queens County,26500,5,1
2682,0,Census Tract 1193 Queens County,26500,5,NA
2683,0.06896551724,Census Tract 1191 Queens County,25564,29,2
2684,0,Census Tract 1195 Queens County,35677,1,NA
2685,0,Census Tract 1207 Queens County,30264,13,NA
2686,0.07692307692,Census Tract 1207 Queens County,30264,13,1
2687,0,Census Tract 1459 Queens County,30712,21,NA
2688,0,Census Tract 1429 Queens County,33750,15,NA
2689,0,Census Tract 1451.01 Queens County,42734,9,NA
2690,0,Census Tract 1463 Queens County,27464,21,NA
2691,0.04761904762,Census Tract 1463 Queens County,27464,21,1
2692,0,Census Tract 1451.02 Queens County,36865,8,NA
2693,0.09523809524,Census Tract 1459 Queens County,30712,21,2
2694,0,Census Tract 1409.02 Queens County,37576,6,NA
2695,0.07142857143,Census Tract 1017 Queens County,43750,42,3
2696,0,Census Tract 997.01 Queens County,48446,1,NA
2697,0,Census Tract 997.04 Queens County,44583,16,NA
2698,0.125,Census Tract 997.04 Queens County,44583,16,2
2699,0.3333333333,Census Tract 997.03 Queens County,54071,3,1
2700,0,Census Tract 997.03 Queens County,54071,3,NA
2701,0,Census Tract 1085 Queens County,39375,10,NA
2702,0.1,Census Tract 1085 Queens County,39375,10,1
2703,0.1212121212,Census Tract 1099 Queens County,30983,33,4
2704,0,Census Tract 1099 Queens County,30983,33,NA
2705,0,Census Tract 1097 Queens County,52177,7,NA
2706,0.1428571429,Census Tract 1097 Queens County,52177,7,1
2707,0,Census Tract 1133 Queens County,46719,6,NA
2708,0,Census Tract 1129 Queens County,49020,9,NA
2709,0,Census Tract 1123 Queens County,42674,76,NA
2710,0.1052631579,Census Tract 1123 Queens County,42674,76,8
2711,0,Census Tract 1467 Queens County,43664,65,NA
2712,0.1230769231,Census Tract 1467 Queens County,43664,65,8
2713,0,Census Tract 1471 Queens County,40527,41,NA
2714,0,Census Tract 803.01 Queens County,21739,5,NA
2715,0.1578947368,Census Tract 799 Queens County,25107,19,3
2716,0,Census Tract 837 Queens County,22907,7,NA
2717,0,Census Tract 793 Queens County,NA,1,NA
2718,0,Census Tract 803.02 Queens County,24416,1,NA
2719,0,Census Tract 809 Queens County,31846,9,NA
2720,0,Census Tract 779.02 Queens County,53520,16,NA
2721,0.125,Census Tract 779.02 Queens County,53520,16,2
2722,0.1875,Census Tract 779.06 Queens County,30625,16,3
2723,0,Census Tract 779.06 Queens County,30625,16,NA
2724,0,Census Tract 779.07 Queens County,30523,13,NA
2725,0,Census Tract 779.04 Queens County,35000,31,NA
2726,0.09677419355,Census Tract 779.04 Queens County,35000,31,3
2727,0,Census Tract 779.05 Queens County,36064,1,NA
2728,0,Census Tract 230 Queens County,27002,14,NA
2729,0.07142857143,Census Tract 230 Queens County,27002,14,1
2730,0,Census Tract 1215 Queens County,24836,8,NA
2731,0.125,Census Tract 1215 Queens County,24836,8,1
2732,0,Census Tract 1227.02 Queens County,16924,15,NA
2733,0,Census Tract 1227.01 Queens County,28025,16,NA
2734,0.125,Census Tract 1227.01 Queens County,28025,16,2
2735,0.06666666667,Census Tract 1227.02 Queens County,16924,15,1
2736,0,Census Tract 1257 Queens County,22998,11,NA
2737,0,Census Tract 1265 Queens County,28477,16,NA
2738,0.0625,Census Tract 1265 Queens County,28477,16,1
2739,0,Census Tract 1267 Queens County,9385,11,NA
2740,0,Census Tract 450 Queens County,27724,8,NA
2741,0,Census Tract 1417 Queens County,33155,16,NA
2742,0,Census Tract 1341 Queens County,30547,33,NA
2743,0,Census Tract 1223 Queens County,26470,14,NA
2744,0.07142857143,Census Tract 1223 Queens County,26470,14,1
2745,0.0303030303,Census Tract 1341 Queens County,30547,33,1
2746,0,Census Tract 1241 Queens County,31026,10,NA
2747,0.1,Census Tract 1241 Queens County,31026,10,1
2748,1,Census Tract 1247 Queens County,35398,1,1
2749,0.09090909091,Census Tract 1267 Queens County,9385,11,1
2750,0,Census Tract 1347 Queens County,32369,25,NA
2751,0.12,Census Tract 1347 Queens County,32369,25,3
2752,0,Census Tract 1339 Queens County,42717,14,NA
2753,0.1428571429,Census Tract 1339 Queens County,42717,14,2
2754,0,Census Tract 1333 Queens County,35865,26,NA
2755,0,Census Tract 1447 Queens County,27704,34,NA
2756,0,Census Tract 1277 Queens County,51141,42,NA
2757,0.07142857143,Census Tract 1277 Queens County,51141,42,3
2758,0.1176470588,Census Tract 1447 Queens County,27704,34,4
2759,0.0243902439,Census Tract 1471 Queens County,40527,41,1
2760,0,Census Tract 1441 Queens County,47642,2,NA
2761,0.5,Census Tract 1441 Queens County,47642,2,1
2762,0,Census Tract 1435 Queens County,37449,11,NA
2763,0,Census Tract 1399 Queens County,50125,5,NA
2764,0.2,Census Tract 1399 Queens County,50125,5,1
2765,0,Census Tract 1367 Queens County,36073,17,NA
2766,0.1176470588,Census Tract 1367 Queens County,36073,17,2
2767,0,Census Tract 1377 Queens County,40085,10,NA
2768,0.2,Census Tract 1377 Queens County,40085,10,2
2769,0,Census Tract 1571.01 Queens County,36510,18,NA
2770,0,Census Tract 1291.03 Queens County,38346,3,NA
2771,0.3333333333,Census Tract 1291.03 Queens County,38346,3,1
2772,0,Census Tract 1291.04 Queens County,44352,2,NA
2773,0,Census Tract 1291.02 Queens County,47871,13,NA
2774,0,Census Tract 1571.02 Queens County,30769,1,NA
2775,0,Census Tract 1301 Queens County,40510,6,NA
2776,0.1666666667,Census Tract 1301 Queens County,40510,6,1
2777,0,Census Tract 1621 Queens County,33917,14,NA
2778,0.07142857143,Census Tract 1621 Queens County,33917,14,1
2779,0,Census Tract 1483 Queens County,53750,2,NA
2780,0,Census Tract 1479 Queens County,36060,61,NA
2781,0.09836065574,Census Tract 1479 Queens County,36060,61,6
2782,0.0625,Census Tract 1507.01 Queens County,52899,16,1
2783,0,Census Tract 1507.01 Queens County,52899,16,NA
2784,0,Census Tract 1507.02 Queens County,34250,39,NA
2785,0.1538461538,Census Tract 1507.02 Queens County,34250,39,6
2786,0,Census Tract 1529.01 Queens County,41265,17,NA
2787,0.1176470588,Census Tract 1529.01 Queens County,41265,17,2
2788,0,Census Tract 1529.02 Queens County,43459,5,NA
2789,0.2,Census Tract 1529.02 Queens County,43459,5,1
2790,0.1,Census Tract 1551.01 Queens County,33636,10,1
2791,0,Census Tract 1551.01 Queens County,33636,10,NA
2792,0.05555555556,Census Tract 1571.01 Queens County,36510,18,1
2793,0,Census Tract 1551.02 Queens County,45490,16,NA
2794,0.0625,Census Tract 1551.02 Queens County,45490,16,1
2795,0,Census Tract 1617 Queens County,40168,9,NA
2796,0.1818181818,Census Tract 1579.01 Queens County,45833,11,2
2797,0,Census Tract 1579.01 Queens County,45833,11,NA
2798,0,Census Tract 3027 Nassau County,36535,2,NA
2799,0,Census Tract 1579.02 Queens County,37124,18,NA
2800,0.05555555556,Census Tract 1579.02 Queens County,37124,18,1
2801,0,Census Tract 1579.03 Queens County,35785,14,NA
2802,0,Census Tract 2 Queens County,28561,7,NA
2803,0.1428571429,Census Tract 2 Queens County,28561,7,1
2804,0,Census Tract 12 Queens County,32073,20,NA
2805,0,Census Tract 14 Queens County,24698,13,NA
2806,0.1538461538,Census Tract 14 Queens County,24698,13,2
2807,0,Census Tract 22 Queens County,31054,9,NA
2808,0.1111111111,Census Tract 22 Queens County,31054,9,1
2809,0,Census Tract 641.01 Queens County,32604,1,NA
2810,0,Census Tract 4 Queens County,20965,21,NA
2811,0.09523809524,Census Tract 4 Queens County,20965,21,2
2812,0,Census Tract 10 Queens County,26007,18,NA
2813,0.05555555556,Census Tract 10 Queens County,26007,18,1
2814,0,Census Tract 16 Queens County,28241,12,NA
2815,0,Census Tract 18 Queens County,19060,18,NA
2816,0.1111111111,Census Tract 18 Queens County,19060,18,2
2817,0.2,Census Tract 20 Queens County,33793,5,1
2818,0,Census Tract 20 Queens County,33793,5,NA
2819,0,Census Tract 30 Queens County,23750,5,NA
2820,0.8,Census Tract 6 Queens County,25013,5,4
2821,0,Census Tract 6 Queens County,25013,5,NA
2822,0,Census Tract 8 Queens County,29359,3,NA
2823,0.3333333333,Census Tract 8 Queens County,29359,3,1
2824,0,Census Tract 34 Queens County,27883,11,NA
2825,0,Census Tract 36 Queens County,30341,5,NA
2826,0.2,Census Tract 36 Queens County,30341,5,1
2827,0,Census Tract 32 Queens County,29706,6,NA
2828,0,Census Tract 42 Queens County,21504,12,NA
2829,0.25,Census Tract 42 Queens County,21504,12,3
2830,0,Census Tract 38 Queens County,24202,16,NA
2831,0.25,Census Tract 38 Queens County,24202,16,4
2832,0.1538461538,Census Tract 44.01 Queens County,23146,13,2
2833,0,Census Tract 52 Queens County,22651,6,NA
2834,0.1666666667,Census Tract 52 Queens County,22651,6,1
2835,0,Census Tract 40.01 Queens County,26444,19,NA
2836,0.05263157895,Census Tract 40.01 Queens County,26444,19,1
2837,0,Census Tract 54 Queens County,27825,31,NA
2838,0,Census Tract 40.02 Queens County,23080,22,NA
2839,0.25,Census Tract 58 Queens County,33313,16,4
2840,0,Census Tract 58 Queens County,33313,16,NA
2841,0.03225806452,Census Tract 54 Queens County,27825,31,1
2842,0,Census Tract 86 Queens County,28911,17,NA
2843,0.05882352941,Census Tract 86 Queens County,28911,17,1
2844,0.04545454545,Census Tract 40.02 Queens County,23080,22,1
2845,0.25,Census Tract 24 Queens County,27776,4,1
2846,0,Census Tract 24 Queens County,27776,4,NA
2847,0,Census Tract 26 Queens County,33649,4,NA
2848,0,Census Tract 128 Queens County,27196,4,NA
2849,0.25,Census Tract 128 Queens County,27196,4,1
2850,0,Census Tract 130 Queens County,27182,5,NA
2851,0.2,Census Tract 130 Queens County,27182,5,1
2852,0,Census Tract 132 Queens County,30114,21,NA
2853,0,Census Tract 140 Queens County,41660,5,NA
2854,0.04761904762,Census Tract 132 Queens County,30114,21,1
2855,0,Census Tract 144 Queens County,22297,29,NA
2856,0.1379310345,Census Tract 144 Queens County,22297,29,4
2857,0.05555555556,Census Tract 142.01 Queens County,27412,18,1
2858,0,Census Tract 142.01 Queens County,27412,18,NA
2859,0,Census Tract 142.02 Queens County,20516,25,NA
2860,0,Census Tract 28 Queens County,28387,10,NA
2861,0.4,Census Tract 28 Queens County,28387,10,4
2862,0,Census Tract 126.02 Queens County,27059,7,NA
2863,0.1428571429,Census Tract 126.02 Queens County,27059,7,1
2864,0,Census Tract 126.01 Queens County,28886,20,NA
2865,0.2,Census Tract 126.01 Queens County,28886,20,4
2866,0,Census Tract 124 Queens County,26031,13,NA
2867,0.07692307692,Census Tract 124 Queens County,26031,13,1
2868,0,Census Tract 122 Queens County,24950,16,NA
2869,0.04,Census Tract 142.02 Queens County,20516,25,1
2870,0,Census Tract 114 Queens County,22267,15,NA
2871,0.06666666667,Census Tract 114 Queens County,22267,15,1
2872,0,Census Tract 116 Queens County,27604,13,NA
2873,0,Census Tract 118 Queens County,22191,5,NA
2874,0,Census Tract 120 Queens County,21943,3,NA
2875,0.07692307692,Census Tract 116 Queens County,27604,13,1
2876,0,Census Tract 110 Queens County,21409,6,NA
2877,0,Census Tract 112 Queens County,21081,11,NA
2878,0.09090909091,Census Tract 112 Queens County,21081,11,1
2879,0,Census Tract 108 Queens County,22120,3,NA
2880,0,Census Tract 148 Queens County,21663,1,NA
2881,0,Census Tract 152 Queens County,20733,5,NA
2882,0,Census Tract 154 Queens County,25596,13,NA
2883,0.07692307692,Census Tract 154 Queens County,25596,13,1
2884,0,Census Tract 106 Queens County,23922,24,NA
2885,0,Census Tract 156 Queens County,23964,6,NA
2886,0,Census Tract 94 Queens County,23958,15,NA
2887,0,Census Tract 98 Queens County,22004,28,NA
2888,0.06666666667,Census Tract 96 Queens County,29974,15,1
2889,0,Census Tract 96 Queens County,29974,15,NA
2890,0,Census Tract 100 Queens County,26578,16,NA
2891,0,Census Tract 104 Queens County,27689,16,NA
2892,0.0625,Census Tract 104 Queens County,27689,16,1
2893,0,Census Tract 864 Queens County,24973,9,NA
2894,0.125,Census Tract 106 Queens County,23922,24,3
2895,0,Census Tract 158.02 Queens County,26243,74,NA
2896,0.06756756757,Census Tract 158.02 Queens County,26243,74,5
2897,0,Census Tract 158.01 Queens County,22158,27,NA
2898,0,Census Tract 446.01 Queens County,26988,95,NA
2899,0.1851851852,Census Tract 158.01 Queens County,22158,27,5
2900,0,Census Tract 166 Queens County,28047,26,NA
2901,0.1538461538,Census Tract 166 Queens County,28047,26,4
2902,0,Census Tract 214 Queens County,23384,37,NA
2903,0.1621621622,Census Tract 214 Queens County,23384,37,6
2904,0.06666666667,Census Tract 216 Queens County,36944,15,1
2905,0,Census Tract 220.02 Queens County,32555,6,NA
2906,0.1666666667,Census Tract 220.02 Queens County,32555,6,1
2907,0,Census Tract 240 Queens County,23067,36,NA
2908,0.05555555556,Census Tract 240 Queens County,23067,36,2
2909,0,Census Tract 238 Queens County,22764,31,NA
2910,0.1612903226,Census Tract 238 Queens County,22764,31,5
2911,0,Census Tract 236 Queens County,22354,22,NA
2912,0.1157894737,Census Tract 446.01 Queens County,26988,95,11
2913,0.09090909091,Census Tract 236 Queens County,22354,22,2
2914,0,Census Tract 446.02 Queens County,16953,30,NA
2915,0,Census Tract 448 Queens County,24926,3,NA
2916,0,Census Tract 460 Queens County,20723,40,NA
2917,0.1,Census Tract 460 Queens County,20723,40,4
2918,0,Census Tract 462 Queens County,17693,26,NA
2919,0.07692307692,Census Tract 462 Queens County,17693,26,2
2920,0.03333333333,Census Tract 446.02 Queens County,16953,30,1
2921,0,Census Tract 466 Queens County,43537,23,NA
2922,0,Census Tract 454 Queens County,28971,17,NA
2923,0,Census Tract 458 Queens County,33168,17,NA
2924,0.05882352941,Census Tract 458 Queens County,33168,17,1
2925,0,Census Tract 468 Queens County,24846,5,NA
2926,0.07142857143,Census Tract 470 Queens County,21845,14,1
2927,0,Census Tract 470 Queens County,21845,14,NA
2928,0,Census Tract 480 Queens County,27188,15,NA
2929,0.2,Census Tract 468 Queens County,24846,5,1
2930,0,Census Tract 472 Queens County,29521,5,NA
2931,0.1176470588,Census Tract 212 Queens County,19139,34,4
2932,0,Census Tract 212 Queens County,19139,34,NA
2933,0,Census Tract 208 Queens County,28373,16,NA
2934,0,Census Tract 206 Queens County,25000,7,NA
2935,0.0625,Census Tract 208 Queens County,28373,16,1
2936,0,Census Tract 204 Queens County,22840,10,NA
2937,0.1,Census Tract 204 Queens County,22840,10,1
2938,0,Census Tract 198 Queens County,22133,3,NA
2939,0,Census Tract 254 Queens County,22100,12,NA
2940,0,Census Tract 444 Queens County,23838,63,NA
2941,0.09523809524,Census Tract 444 Queens County,23838,63,6
2942,0,Census Tract 258 Queens County,27797,7,NA
2943,0.1428571429,Census Tract 258 Queens County,27797,7,1
2944,0,Census Tract 264 Queens County,25000,1,NA
2945,0,Census Tract 440 Queens County,29292,15,NA
2946,0,Census Tract 414 Queens County,25304,5,NA
2947,0,Census Tract 432 Queens County,33938,5,NA
2948,0,Census Tract 424 Queens County,37193,1,NA
2949,0,Census Tract 404 Queens County,28675,2,NA
2950,0,Census Tract 398 Queens County,37476,4,NA
2951,0,Census Tract 400 Queens County,34632,4,NA
2952,0.2,Census Tract 480 Queens County,27188,15,3
2953,0,Census Tract 482 Queens County,37944,5,NA
2954,0.2,Census Tract 482 Queens County,37944,5,1
2955,0,Census Tract 484 Queens County,30362,11,NA
2956,0,Census Tract 478 Queens County,36032,31,NA
2957,0.09090909091,Census Tract 484 Queens County,30362,11,1
2958,0.03225806452,Census Tract 478 Queens County,36032,31,1
2959,0,Census Tract 496 Queens County,32440,14,NA
2960,0.07142857143,Census Tract 496 Queens County,32440,14,1
2961,0.1111111111,Census Tract 542 Queens County,30403,18,2
2962,0,Census Tract 542 Queens County,30403,18,NA
2963,0,Census Tract 492 Queens County,31664,7,NA
2964,0.2857142857,Census Tract 492 Queens County,31664,7,2
2965,0,Census Tract 548 Queens County,32112,3,NA
2966,0,Census Tract 566 Queens County,29258,21,NA
2967,0,Census Tract 556 Queens County,32059,2,NA
2968,0,Census Tract 552 Queens County,27071,10,NA
2969,0,Census Tract 554 Queens County,34068,3,NA
2970,0,Census Tract 564 Queens County,32313,8,NA
2971,0.125,Census Tract 564 Queens County,32313,8,1
2972,0.5,Census Tract 560 Queens County,32739,2,1
2973,0,Census Tract 560 Queens County,32739,2,NA
2974,0,Census Tract 568 Queens County,35092,35,NA
2975,0.1714285714,Census Tract 568 Queens County,35092,35,6
2976,0,Census Tract 500 Queens County,19793,14,NA
2977,0,Census Tract 512 Queens County,28886,17,NA
2978,0,Census Tract 540 Queens County,26070,32,NA
2979,0,Census Tract 502.01 Queens County,30211,1,NA
2980,0,Census Tract 506 Queens County,31435,2,NA
2981,0,Census Tract 508 Queens County,31935,5,NA
2982,0,Census Tract 510 Queens County,27386,2,NA
2983,0.5,Census Tract 506 Queens County,31435,2,1
2984,0.5,Census Tract 524 Queens County,34107,2,1
2985,0,Census Tract 524 Queens County,34107,2,NA
2986,0,Census Tract 532 Queens County,36036,13,NA
2987,0,Census Tract 522 Queens County,38973,3,NA
2988,0,Census Tract 520 Queens County,24167,4,NA
2989,0,Census Tract 526 Queens County,30989,5,NA
2990,0.2,Census Tract 526 Queens County,30989,5,1
2991,0.125,Census Tract 534.01 Queens County,34591,8,1
2992,0,Census Tract 528 Queens County,26959,2,NA
2993,0,Census Tract 530 Queens County,30385,10,NA
2994,0.2,Census Tract 530 Queens County,30385,10,2
2995,0,Census Tract 534.01 Queens County,34591,8,NA
2996,0.0625,Census Tract 540 Queens County,26070,32,2
2997,0,Census Tract 538 Queens County,27214,1,NA
2998,0.08333333333,Census Tract 582 Queens County,32520,12,1
2999,0,Census Tract 582 Queens County,32520,12,NA
3000,1,Census Tract 590 Queens County,30921,2,2
3001,0,Census Tract 598 Queens County,37152,5,NA
3002,0,Census Tract 596 Queens County,32303,6,NA
3003,0.1666666667,Census Tract 596 Queens County,32303,6,1
3004,0,Census Tract 600 Queens County,39023,3,NA
3005,0,Census Tract 622 Queens County,34688,10,NA
3006,0.2307692308,Census Tract 62.02 Queens County,31766,13,3
3007,0,Census Tract 62.02 Queens County,31766,13,NA
3008,0,Census Tract 62.01 Queens County,36432,2,NA
3009,0.5,Census Tract 62.01 Queens County,36432,2,1
3010,0,Census Tract 88 Queens County,42880,13,NA
3011,0.07692307692,Census Tract 88 Queens County,42880,13,1
3012,0,Census Tract 884 Queens County,31494,17,NA
3013,0,Census Tract 170 Queens County,25061,3,NA
3014,0.0625,Census Tract 100 Queens County,26578,16,1
3015,0,Census Tract 102 Queens County,22405,11,NA
3016,0,Census Tract 172 Queens County,25183,3,NA
3017,0.3333333333,Census Tract 174 Queens County,23948,3,1
3018,0,Census Tract 174 Queens County,23948,3,NA
3019,0.09090909091,Census Tract 102 Queens County,22405,11,1
3020,0,Census Tract 178 Queens County,25391,4,NA
3021,0,Census Tract 180 Queens County,23924,6,NA
3022,0.1666666667,Census Tract 180 Queens County,23924,6,1
3023,0,Census Tract 840 Queens County,26739,32,NA
3024,0.09375,Census Tract 840 Queens County,26739,32,3
3025,0,Census Tract 838 Queens County,29286,14,NA
3026,0,Census Tract 814 Queens County,19194,10,NA
3027,0,Census Tract 818 Queens County,25227,2,NA
3028,0,Census Tract 272 Queens County,25145,13,NA
3029,0,Census Tract 196 Queens County,27765,1,NA
3030,0,Census Tract 190 Queens County,33310,22,NA
3031,0.09090909091,Census Tract 190 Queens County,33310,22,2
3032,0,Census Tract 184.02 Queens County,26465,3,NA
