reporting_year,geoid,boro_ct2020,vacant_on_12_31,count_vacant,perc_vacant,total_storefronts
2019 and 2020,36047024000,3024000,NO,10,0.83,12
2019 and 2020,36047024000,3024000,YES,2,0.17,12
2019 and 2020,36047024100,3024100,NO,17,0.89,19
2019 and 2020,36047024100,3024100,YES,2,0.11,19
2019 and 2020,36047024200,3024200,NO,8,0.8,10
2019 and 2020,36047024200,3024200,YES,2,0.2,10
2019 and 2020,36047024300,3024300,NO,15,0.71,21
2019 and 2020,36047024300,3024300,YES,6,0.29,21
2019 and 2020,36047024400,3024400,NO,18,0.9,20
2019 and 2020,36047024400,3024400,YES,2,0.1,20
2019 and 2020,36047024500,3024500,NO,29,0.83,35
2019 and 2020,36047024500,3024500,YES,6,0.17,35
2019 and 2020,36047024600,3024600,NO,1,0.33,3
2019 and 2020,36047024600,3024600,YES,2,0.67,3
2019 and 2020,36047024700,3024700,NO,57,0.9,63
2019 and 2020,36047024700,3024700,YES,6,0.1,63
2019 and 2020,36047024800,3024800,NO,34,0.97,35
2019 and 2020,36047024800,3024800,YES,1,0.03,35
2019 and 2020,36047024900,3024900,NO,21,0.75,28
2019 and 2020,36047024900,3024900,YES,7,0.25,28
2019 and 2020,36047025000,3025000,NO,15,0.88,17
2019 and 2020,36047025000,3025000,YES,2,0.12,17
2019 and 2020,36047025100,3025100,NO,8,0.89,9
2019 and 2020,36047025100,3025100,YES,1,0.11,9
2019 and 2020,36047025200,3025200,NO,22,0.88,25
2019 and 2020,36047025200,3025200,YES,3,0.12,25
2019 and 2020,36047025300,3025300,NO,9,1,9
2019 and 2020,36047025400,3025400,NO,15,1,15
2019 and 2020,36047025600,3025600,NO,23,0.96,24
2019 and 2020,36047025600,3025600,YES,1,0.04,24
2019 and 2020,36047025700,3025700,NO,14,0.78,18
2019 and 2020,36047025700,3025700,YES,4,0.22,18
2019 and 2020,36047025800,3025800,NO,26,0.96,27
2019 and 2020,36047025800,3025800,YES,1,0.04,27
2019 and 2020,36047025901,3025901,NO,22,0.92,24
2019 and 2020,36047025901,3025901,YES,2,0.08,24
2019 and 2020,36047026000,3026000,NO,32,1,32
2019 and 2020,36047026100,3026100,NO,12,0.86,14
2019 and 2020,36047026100,3026100,YES,2,0.14,14
2019 and 2020,36047026200,3026200,NO,5,1,5
2019 and 2020,36047026300,3026300,NO,2,0.5,4
2019 and 2020,36047026300,3026300,YES,2,0.5,4
2019 and 2020,36047026400,3026400,NO,34,0.94,36
2019 and 2020,36047026400,3026400,YES,2,0.06,36
2019 and 2020,36047026500,3026500,NO,9,0.75,12
2019 and 2020,36047026500,3026500,YES,3,0.25,12
2019 and 2020,36047026600,3026600,NO,23,0.96,24
2019 and 2020,36047026600,3026600,YES,1,0.04,24
2019 and 2020,36047026700,3026700,NO,8,1,8
2019 and 2020,36047026800,3026800,NO,14,0.67,21
2019 and 2020,36047026800,3026800,YES,7,0.33,21
2019 and 2020,36047026900,3026900,NO,23,0.92,25
2019 and 2020,36047026900,3026900,YES,2,0.08,25
2019 and 2020,36047027000,3027000,NO,1,1,1
2019 and 2020,36047027100,3027100,NO,13,0.81,16
2019 and 2020,36047027100,3027100,YES,3,0.19,16
2019 and 2020,36047027200,3027200,NO,8,0.89,9
2019 and 2020,36047027200,3027200,YES,1,0.11,9
2019 and 2020,36047027300,3027300,NO,19,0.86,22
2019 and 2020,36047027300,3027300,YES,3,0.14,22
2019 and 2020,36047027400,3027400,NO,13,0.87,15
2019 and 2020,36047027400,3027400,YES,2,0.13,15
2019 and 2020,36047027500,3027500,NO,21,0.81,26
2019 and 2020,36047027500,3027500,YES,5,0.19,26
2019 and 2020,36047027600,3027600,NO,41,1,41
2019 and 2020,36047027700,3027700,NO,14,0.78,18
2019 and 2020,36047027700,3027700,YES,4,0.22,18
2019 and 2020,36047027800,3027800,NO,42,0.93,45
2019 and 2020,36047027800,3027800,YES,3,0.07,45
2019 and 2020,36047027900,3027900,NO,12,0.75,16
2019 and 2020,36047027900,3027900,YES,4,0.25,16
2019 and 2020,36047028000,3028000,NO,16,0.94,17
2019 and 2020,36047028000,3028000,YES,1,0.06,17
2019 and 2020,36047028100,3028100,NO,30,0.88,34
2019 and 2020,36047028100,3028100,YES,4,0.12,34
2019 and 2020,36047028200,3028200,NO,18,0.95,19
2019 and 2020,36047028200,3028200,YES,1,0.05,19
2019 and 2020,36047028300,3028300,NO,17,0.81,21
2019 and 2020,36047028300,3028300,YES,4,0.19,21
2019 and 2020,36047028400,3028400,NO,29,0.97,30
2019 and 2020,36047028400,3028400,YES,1,0.03,30
2019 and 2020,36047028501,3028501,NO,13,0.72,18
2019 and 2020,36047028501,3028501,YES,5,0.28,18
