reporting_year,geoid,boro_ct2020,vacant_on_12_31,count_vacant,perc_vacant,total_storefronts
2019 and 2020,36061030700,1030700,NO,11,0.92,12
2019 and 2020,36061030700,1030700,YES,1,0.08,12
2019 and 2020,36061030900,1030900,NO,45,0.96,47
2019 and 2020,36061030900,1030900,YES,2,0.04,47
2019 and 2020,36061031703,1031703,NO,27,0.79,34
2019 and 2020,36061031703,1031703,YES,7,0.21,34
2019 and 2020,36061031704,1031704,NO,14,0.82,17
2019 and 2020,36061031704,1031704,YES,3,0.18,17
2019 and 2020,36081000101,4000101,NO,12,0.92,13
2019 and 2020,36081000101,4000101,YES,1,0.08,13
2019 and 2020,36081000102,4000102,NO,19,1,19
2019 and 2020,36081000103,4000103,NO,3,0.75,4
2019 and 2020,36081000103,4000103,YES,1,0.25,4
2019 and 2020,36081000104,4000104,NO,19,0.83,23
2019 and 2020,36081000104,4000104,YES,4,0.17,23
2019 and 2020,36081000200,4000200,NO,8,0.8,10
2019 and 2020,36081000200,4000200,YES,2,0.2,10
2019 and 2020,36081000400,4000400,NO,19,0.9,21
2019 and 2020,36081000400,4000400,YES,2,0.1,21
2019 and 2020,36081000600,4000600,NO,5,0.62,8
2019 and 2020,36081000600,4000600,YES,3,0.38,8
2019 and 2020,36081000701,4000701,NO,56,0.93,60
2019 and 2020,36081000701,4000701,YES,4,0.07,60
2019 and 2020,36081000702,4000702,NO,55,0.92,60
2019 and 2020,36081000702,4000702,YES,5,0.08,60
2019 and 2020,36081000800,4000800,NO,6,0.86,7
2019 and 2020,36081000800,4000800,YES,1,0.14,7
2019 and 2020,36081001000,4001000,NO,25,0.78,32
2019 and 2020,36081001000,4001000,YES,7,0.22,32
2019 and 2020,36081001200,4001200,NO,19,0.86,22
2019 and 2020,36081001200,4001200,YES,3,0.14,22
2019 and 2020,36081001400,4001400,NO,12,1,12
2019 and 2020,36081001600,4001600,NO,10,0.91,11
2019 and 2020,36081001600,4001600,YES,1,0.09,11
2019 and 2020,36081001800,4001800,NO,22,0.88,25
2019 and 2020,36081001800,4001800,YES,3,0.12,25
2019 and 2020,36081001901,4001901,NO,9,0.82,11
2019 and 2020,36081001901,4001901,YES,2,0.18,11
2019 and 2020,36081001902,4001902,NO,53,0.8,66
2019 and 2020,36081001902,4001902,YES,13,0.2,66
2019 and 2020,36081001903,4001903,NO,57,0.92,62
2019 and 2020,36081001903,4001903,YES,5,0.08,62
2019 and 2020,36081002000,4002000,NO,2,1,2
2019 and 2020,36081002200,4002200,NO,20,0.83,24
2019 and 2020,36081002200,4002200,YES,4,0.17,24
2019 and 2020,36081002400,4002400,NO,2,1,2
2019 and 2020,36081002500,4002500,NO,11,1,11
2019 and 2020,36081002600,4002600,NO,6,0.86,7
2019 and 2020,36081002600,4002600,YES,1,0.14,7
2019 and 2020,36081002800,4002800,NO,9,1,9
2019 and 2020,36081003000,4003000,NO,6,1,6
2019 and 2020,36081003100,4003100,NO,36,0.95,38
2019 and 2020,36081003100,4003100,YES,2,0.05,38
2019 and 2020,36081003200,4003200,NO,4,1,4
2019 and 2020,36081003301,4003301,NO,35,0.9,39
2019 and 2020,36081003301,4003301,YES,4,0.1,39
2019 and 2020,36081003302,4003302,NO,55,0.9,61
2019 and 2020,36081003302,4003302,YES,6,0.1,61
2019 and 2020,36081003400,4003400,NO,24,1,24
2019 and 2020,36081003600,4003600,NO,4,0.8,5
2019 and 2020,36081003600,4003600,YES,1,0.2,5
2019 and 2020,36081003800,4003800,NO,18,0.86,21
2019 and 2020,36081003800,4003800,YES,3,0.14,21
2019 and 2020,36081003900,4003900,NO,21,0.81,26
2019 and 2020,36081003900,4003900,YES,5,0.19,26
2019 and 2020,36081004001,4004001,NO,23,0.96,24
2019 and 2020,36081004001,4004001,YES,1,0.04,24
2019 and 2020,36081004002,4004002,NO,30,1,30
2019 and 2020,36081004200,4004200,NO,9,0.82,11
2019 and 2020,36081004200,4004200,YES,2,0.18,11
2019 and 2020,36081004300,4004300,NO,11,1,11
2019 and 2020,36081004401,4004401,NO,9,1,9
2019 and 2020,36081004500,4004500,NO,14,1,14
2019 and 2020,36081004700,4004700,NO,7,1,7
2019 and 2020,36081005100,4005100,NO,34,1,34
2019 and 2020,36081005200,4005200,NO,7,0.88,8
2019 and 2020,36081005200,4005200,YES,1,0.12,8
2019 and 2020,36081005300,4005300,NO,42,1,42
2019 and 2020,36081005400,4005400,NO,32,0.94,34
2019 and 2020,36081005400,4005400,YES,2,0.06,34
2019 and 2020,36081005500,4005500,NO,41,0.89,46
2019 and 2020,36081005500,4005500,YES,5,0.11,46
2019 and 2020,36081005700,4005700,NO,50,0.83,60
2019 and 2020,36081005700,4005700,YES,10,0.17,60
2019 and 2020,36081005800,4005800,NO,16,0.84,19
2019 and 2020,36081005800,4005800,YES,3,0.16,19
2019 and 2020,36081005900,4005900,NO,66,0.89,74
2019 and 2020,36081005900,4005900,YES,8,0.11,74
2019 and 2020,36081006100,4006100,NO,71,1,71
2019 and 2020,36081006201,4006201,NO,2,1,2
2019 and 2020,36081006202,4006202,NO,24,0.89,27
2019 and 2020,36081006202,4006202,YES,3,0.11,27
2019 and 2020,36081006300,4006300,NO,82,0.88,93
2019 and 2020,36081006300,4006300,YES,11,0.12,93
2019 and 2020,36081006501,4006501,NO,13,0.87,15
2019 and 2020,36081006501,4006501,YES,2,0.13,15
2019 and 2020,36081006502,4006502,NO,42,0.91,46
2019 and 2020,36081006502,4006502,YES,4,0.09,46
2019 and 2020,36081006900,4006900,NO,45,0.88,51
2019 and 2020,36081006900,4006900,YES,6,0.12,51
2019 and 2020,36081007100,4007100,NO,65,0.96,68
2019 and 2020,36081007100,4007100,YES,3,0.04,68
2019 and 2020,36081007300,4007300,NO,9,1,9
2019 and 2020,36081007500,4007500,NO,13,0.81,16
2019 and 2020,36081007500,4007500,YES,3,0.19,16
2019 and 2020,36081007700,4007700,NO,25,0.89,28
2019 and 2020,36081007700,4007700,YES,3,0.11,28
2019 and 2020,36081007900,4007900,NO,14,0.82,17
2019 and 2020,36081007900,4007900,YES,3,0.18,17
2019 and 2020,36081008100,4008100,NO,3,0.75,4
2019 and 2020,36081008100,4008100,YES,1,0.25,4
2019 and 2020,36081008300,4008300,NO,17,0.77,22
2019 and 2020,36081008300,4008300,YES,5,0.23,22
2019 and 2020,36081008500,4008500,NO,37,0.92,40
2019 and 2020,36081008500,4008500,YES,3,0.07,40
2019 and 2020,36081008600,4008600,NO,12,1,12
2019 and 2020,36081008700,4008700,NO,1,1,1
2019 and 2020,36081008800,4008800,NO,5,1,5
2019 and 2020,36081009100,4009100,NO,1,1,1
2019 and 2020,36081009400,4009400,NO,26,0.93,28
2019 and 2020,36081009400,4009400,YES,2,0.07,28
2019 and 2020,36081009500,4009500,NO,2,1,2
2019 and 2020,36081009600,4009600,NO,16,0.94,17
2019 and 2020,36081009600,4009600,YES,1,0.06,17
2019 and 2020,36081009700,4009700,NO,9,1,9
2019 and 2020,36081009800,4009800,NO,35,1,35
2019 and 2020,36081010000,4010000,NO,12,0.86,14
2019 and 2020,36081010000,4010000,YES,2,0.14,14
2019 and 2020,36081010100,4010100,NO,13,1,13
2019 and 2020,36081010200,4010200,NO,9,0.9,10
2019 and 2020,36081010200,4010200,YES,1,0.1,10
2019 and 2020,36081010300,4010300,NO,11,1,11
2019 and 2020,36081010400,4010400,NO,11,0.79,14
2019 and 2020,36081010400,4010400,YES,3,0.21,14
2019 and 2020,36081010500,4010500,NO,14,0.93,15
2019 and 2020,36081010500,4010500,YES,1,0.07,15
2019 and 2020,36081010600,4010600,NO,32,0.97,33
2019 and 2020,36081010600,4010600,YES,1,0.03,33
2019 and 2020,36081010701,4010701,NO,9,1,9
2019 and 2020,36081010800,4010800,NO,2,1,2
2019 and 2020,36081011000,4011000,NO,6,1,6
2019 and 2020,36081011100,4011100,NO,6,0.75,8
2019 and 2020,36081011100,4011100,YES,2,0.25,8
2019 and 2020,36081011200,4011200,NO,10,0.77,13
2019 and 2020,36081011200,4011200,YES,3,0.23,13
2019 and 2020,36081011300,4011300,NO,49,0.98,50
2019 and 2020,36081011300,4011300,YES,1,0.02,50
2019 and 2020,36081011400,4011400,NO,13,0.76,17
2019 and 2020,36081011400,4011400,YES,4,0.24,17
2019 and 2020,36081011500,4011500,NO,118,0.94,126
2019 and 2020,36081011500,4011500,YES,8,0.06,126
2019 and 2020,36081011600,4011600,NO,19,0.9,21
2019 and 2020,36081011600,4011600,YES,2,0.1,21
2019 and 2020,36081011700,4011700,NO,22,0.96,23
2019 and 2020,36081011700,4011700,YES,1,0.04,23
2019 and 2020,36081011800,4011800,NO,10,1,10
2019 and 2020,36081011900,4011900,NO,31,0.91,34
2019 and 2020,36081011900,4011900,YES,3,0.09,34
2019 and 2020,36081012000,4012000,NO,5,1,5
2019 and 2020,36081012100,4012100,NO,14,0.88,16
2019 and 2020,36081012100,4012100,YES,2,0.12,16
2019 and 2020,36081012200,4012200,NO,19,0.95,20
2019 and 2020,36081012200,4012200,YES,1,0.05,20
2019 and 2020,36081012301,4012301,NO,39,0.98,40
2019 and 2020,36081012301,4012301,YES,1,0.03,40
2019 and 2020,36081012400,4012400,NO,9,1,9
2019 and 2020,36081012500,4012500,NO,8,0.8,10
2019 and 2020,36081012500,4012500,YES,2,0.2,10
2019 and 2020,36081012601,4012601,NO,4,0.44,9
2019 and 2020,36081012601,4012601,YES,5,0.56,9
2019 and 2020,36081012602,4012602,NO,6,0.86,7
2019 and 2020,36081012602,4012602,YES,1,0.14,7
2019 and 2020,36081012800,4012800,NO,4,0.8,5
2019 and 2020,36081012800,4012800,YES,1,0.2,5
2019 and 2020,36081013000,4013000,NO,11,0.85,13
2019 and 2020,36081013000,4013000,YES,2,0.15,13
2019 and 2020,36081013200,4013200,NO,22,0.85,26
2019 and 2020,36081013200,4013200,YES,4,0.15,26
2019 and 2020,36081013600,4013600,NO,32,1,32
2019 and 2020,36081013700,4013700,NO,23,0.92,25
2019 and 2020,36081013700,4013700,YES,2,0.08,25
2019 and 2020,36081013800,4013800,NO,10,0.91,11
2019 and 2020,36081013800,4013800,YES,1,0.09,11
2019 and 2020,36081014000,4014000,NO,9,1,9
2019 and 2020,36081014100,4014100,NO,44,1,44
2019 and 2020,36081014201,4014201,NO,13,0.93,14
2019 and 2020,36081014201,4014201,YES,1,0.07,14
2019 and 2020,36081014202,4014202,NO,41,0.98,42
2019 and 2020,36081014202,4014202,YES,1,0.02,42
2019 and 2020,36081014300,4014300,NO,43,0.86,50
2019 and 2020,36081014300,4014300,YES,7,0.14,50
2019 and 2020,36081014400,4014400,NO,45,0.96,47
2019 and 2020,36081014400,4014400,YES,2,0.04,47
2019 and 2020,36081014500,4014500,NO,7,1,7
2019 and 2020,36081014700,4014700,NO,50,0.93,54
2019 and 2020,36081014700,4014700,YES,4,0.07,54
2019 and 2020,36081014800,4014800,NO,1,1,1
2019 and 2020,36081014900,4014900,NO,55,0.93,59
2019 and 2020,36081014900,4014900,YES,4,0.07,59
2019 and 2020,36081015100,4015100,NO,14,1,14
2019 and 2020,36081015200,4015200,NO,8,1,8
2019 and 2020,36081015300,4015300,NO,8,0.89,9
2019 and 2020,36081015300,4015300,YES,1,0.11,9
2019 and 2020,36081015400,4015400,NO,12,0.86,14
2019 and 2020,36081015400,4015400,YES,2,0.14,14
2019 and 2020,36081015500,4015500,NO,141,0.89,158
2019 and 2020,36081015500,4015500,YES,17,0.11,158
2019 and 2020,36081015600,4015600,NO,10,1,10
2019 and 2020,36081015700,4015700,NO,33,0.94,35
2019 and 2020,36081015700,4015700,YES,2,0.06,35
2019 and 2020,36081015801,4015801,NO,27,0.82,33
2019 and 2020,36081015801,4015801,YES,6,0.18,33
2019 and 2020,36081015802,4015802,NO,82,0.93,88
2019 and 2020,36081015802,4015802,YES,6,0.07,88
2019 and 2020,36081015900,4015900,NO,16,0.84,19
2019 and 2020,36081015900,4015900,YES,3,0.16,19
2019 and 2020,36081016100,4016100,NO,26,0.96,27
2019 and 2020,36081016100,4016100,YES,1,0.04,27
2019 and 2020,36081016300,4016300,NO,25,1,25
2019 and 2020,36081016600,4016600,NO,23,0.88,26
2019 and 2020,36081016600,4016600,YES,3,0.12,26
2019 and 2020,36081016900,4016900,NO,15,0.94,16
2019 and 2020,36081016900,4016900,YES,1,0.06,16
2019 and 2020,36081017000,4017000,NO,6,1,6
2019 and 2020,36081017101,4017101,NO,6,1,6
2019 and 2020,36081017102,4017102,NO,39,0.89,44
2019 and 2020,36081017102,4017102,YES,5,0.11,44
2019 and 2020,36081017200,4017200,NO,3,0.6,5
2019 and 2020,36081017200,4017200,YES,2,0.4,5
2019 and 2020,36081017400,4017400,NO,2,1,2
2019 and 2020,36081017800,4017800,NO,5,1,5
2019 and 2020,36081017901,4017901,NO,12,0.92,13
2019 and 2020,36081017901,4017901,YES,1,0.08,13
2019 and 2020,36081017902,4017902,NO,44,0.86,51
2019 and 2020,36081017902,4017902,YES,7,0.14,51
2019 and 2020,36081018000,4018000,NO,9,1,9
2019 and 2020,36081018101,4018101,NO,22,0.96,23
2019 and 2020,36081018101,4018101,YES,1,0.04,23
2019 and 2020,36081018102,4018102,NO,17,0.94,18
2019 and 2020,36081018102,4018102,YES,1,0.06,18
2019 and 2020,36081018200,4018200,NO,2,0.67,3
2019 and 2020,36081018200,4018200,YES,1,0.33,3
2019 and 2020,36081018300,4018300,NO,99,0.95,104
2019 and 2020,36081018300,4018300,YES,5,0.05,104
2019 and 2020,36081018401,4018401,NO,1,1,1
2019 and 2020,36081018402,4018402,NO,5,0.83,6
2019 and 2020,36081018402,4018402,YES,1,0.17,6
2019 and 2020,36081018501,4018501,NO,16,1,16
2019 and 2020,36081018502,4018502,NO,44,0.98,45
2019 and 2020,36081018502,4018502,YES,1,0.02,45
2019 and 2020,36081018700,4018700,NO,3,0.75,4
2019 and 2020,36081018700,4018700,YES,1,0.25,4
2019 and 2020,36081018900,4018900,NO,23,0.96,24
2019 and 2020,36081018900,4018900,YES,1,0.04,24
2019 and 2020,36081019000,4019000,NO,27,0.84,32
2019 and 2020,36081019000,4019000,YES,5,0.16,32
2019 and 2020,36081019600,4019600,NO,1,1,1
2019 and 2020,36081019800,4019800,NO,4,1,4
2019 and 2020,36081019901,4019901,NO,37,0.79,47
2019 and 2020,36081019901,4019901,YES,10,0.21,47
2019 and 2020,36081019902,4019902,NO,36,0.88,41
2019 and 2020,36081019902,4019902,YES,5,0.12,41
2019 and 2020,36081020400,4020400,NO,14,0.82,17
2019 and 2020,36081020400,4020400,YES,3,0.18,17
2019 and 2020,36081020500,4020500,NO,21,1,21
2019 and 2020,36081020600,4020600,NO,7,1,7
2019 and 2020,36081020800,4020800,NO,24,0.96,25
2019 and 2020,36081020800,4020800,YES,1,0.04,25
2019 and 2020,36081021200,4021200,NO,52,0.91,57
2019 and 2020,36081021200,4021200,YES,5,0.09,57
2019 and 2020,36081021400,4021400,NO,71,0.9,79
2019 and 2020,36081021400,4021400,YES,8,0.1,79
2019 and 2020,36081021601,4021601,NO,22,0.96,23
2019 and 2020,36081021601,4021601,YES,1,0.04,23
2019 and 2020,36081021602,4021602,NO,7,1,7
2019 and 2020,36081021900,4021900,NO,28,0.97,29
2019 and 2020,36081021900,4021900,YES,1,0.03,29
2019 and 2020,36081022001,4022001,NO,1,1,1
2019 and 2020,36081022002,4022002,NO,6,0.86,7
2019 and 2020,36081022002,4022002,YES,1,0.14,7
2019 and 2020,36081022900,4022900,NO,1,1,1
2019 and 2020,36081023000,4023000,NO,13,1,13
2019 and 2020,36081023501,4023501,NO,7,0.78,9
2019 and 2020,36081023501,4023501,YES,2,0.22,9
2019 and 2020,36081023502,4023502,NO,46,0.98,47
2019 and 2020,36081023502,4023502,YES,1,0.02,47
2019 and 2020,36081023600,4023600,NO,51,0.94,54
2019 and 2020,36081023600,4023600,YES,3,0.06,54
2019 and 2020,36081023800,4023800,NO,38,0.84,45
2019 and 2020,36081023800,4023800,YES,7,0.16,45
2019 and 2020,36081024000,4024000,NO,46,0.84,55
2019 and 2020,36081024000,4024000,YES,9,0.16,55
2019 and 2020,36081024300,4024300,NO,6,1,6
2019 and 2020,36081024500,4024500,NO,18,0.95,19
2019 and 2020,36081024500,4024500,YES,1,0.05,19
2019 and 2020,36081024700,4024700,NO,2,0.67,3
2019 and 2020,36081024700,4024700,YES,1,0.33,3
2019 and 2020,36081024900,4024900,NO,19,0.95,20
2019 and 2020,36081024900,4024900,YES,1,0.05,20
2019 and 2020,36081025100,4025100,NO,37,1,37
2019 and 2020,36081025301,4025301,NO,40,0.98,41
2019 and 2020,36081025301,4025301,YES,1,0.02,41
2019 and 2020,36081025302,4025302,NO,22,0.79,28
2019 and 2020,36081025302,4025302,YES,6,0.21,28
2019 and 2020,36081025401,4025401,NO,10,0.91,11
2019 and 2020,36081025401,4025401,YES,1,0.09,11
2019 and 2020,36081025402,4025402,NO,6,0.86,7
2019 and 2020,36081025402,4025402,YES,1,0.14,7
2019 and 2020,36081025500,4025500,NO,25,0.96,26
2019 and 2020,36081025500,4025500,YES,1,0.04,26
2019 and 2020,36081025700,4025700,NO,24,0.89,27
2019 and 2020,36081025700,4025700,YES,3,0.11,27
2019 and 2020,36081025800,4025800,NO,4,0.67,6
2019 and 2020,36081025800,4025800,YES,2,0.33,6
2019 and 2020,36081025900,4025900,NO,45,0.92,49
2019 and 2020,36081025900,4025900,YES,4,0.08,49
2019 and 2020,36081026000,4026000,NO,1,1,1
2019 and 2020,36081026100,4026100,NO,86,0.95,91
2019 and 2020,36081026100,4026100,YES,5,0.05,91
2019 and 2020,36081026200,4026200,YES,1,1,1
2019 and 2020,36081026300,4026300,NO,46,1,46
2019 and 2020,36081026400,4026400,NO,1,1,1
2019 and 2020,36081026501,4026501,NO,27,0.93,29
2019 and 2020,36081026501,4026501,YES,2,0.07,29
2019 and 2020,36081026600,4026600,NO,3,1,3
2019 and 2020,36081026700,4026700,NO,53,0.85,62
2019 and 2020,36081026700,4026700,YES,9,0.15,62
2019 and 2020,36081026901,4026901,NO,97,0.89,109
2019 and 2020,36081026901,4026901,YES,12,0.11,109
2019 and 2020,36081026902,4026902,NO,32,0.91,35
2019 and 2020,36081026902,4026902,YES,3,0.09,35
2019 and 2020,36081027000,4027000,NO,6,1,6
2019 and 2020,36081027101,4027101,NO,3,1,3
2019 and 2020,36081027102,4027102,NO,32,0.94,34
2019 and 2020,36081027102,4027102,YES,2,0.06,34
2019 and 2020,36081027200,4027200,NO,13,1,13
2019 and 2020,36081027301,4027301,NO,81,0.94,86
2019 and 2020,36081027301,4027301,YES,5,0.06,86
2019 and 2020,36081027302,4027302,NO,33,1,33
2019 and 2020,36081027500,4027500,NO,69,0.99,70
2019 and 2020,36081027500,4027500,YES,1,0.01,70
2019 and 2020,36081027600,4027600,NO,1,1,1
2019 and 2020,36081027701,4027701,NO,58,0.94,62
2019 and 2020,36081027701,4027701,YES,4,0.06,62
2019 and 2020,36081027702,4027702,NO,7,1,7
2019 and 2020,36081027900,4027900,NO,51,0.98,52
2019 and 2020,36081027900,4027900,YES,1,0.02,52
2019 and 2020,36081028000,4028000,NO,2,1,2
2019 and 2020,36081028100,4028100,NO,30,0.94,32
2019 and 2020,36081028100,4028100,YES,2,0.06,32
2019 and 2020,36081028200,4028200,NO,11,1,11
2019 and 2020,36081028300,4028300,NO,151,0.93,163
2019 and 2020,36081028300,4028300,YES,12,0.07,163
2019 and 2020,36081028400,4028400,NO,24,0.92,26
2019 and 2020,36081028400,4028400,YES,2,0.08,26
2019 and 2020,36081028500,4028500,NO,22,1,22
2019 and 2020,36081028700,4028700,NO,70,0.93,75
2019 and 2020,36081028700,4028700,YES,5,0.07,75
2019 and 2020,36081028801,4028801,NO,1,1,1
2019 and 2020,36081028802,4028802,NO,5,1,5
2019 and 2020,36081028900,4028900,NO,85,0.98,87
2019 and 2020,36081028900,4028900,YES,2,0.02,87
2019 and 2020,36081029100,4029100,NO,28,0.9,31
2019 and 2020,36081029100,4029100,YES,3,0.1,31
2019 and 2020,36081029300,4029300,NO,12,1,12
2019 and 2020,36081029400,4029400,NO,30,1,30
2019 and 2020,36081029500,4029500,NO,37,1,37
2019 and 2020,36081029700,4029700,NO,72,0.97,74
2019 and 2020,36081029700,4029700,YES,2,0.03,74
2019 and 2020,36081029900,4029900,NO,4,1,4
2019 and 2020,36081030600,4030600,NO,68,0.79,86
2019 and 2020,36081030600,4030600,YES,18,0.21,86
2019 and 2020,36081030903,4030903,NO,54,0.96,56
2019 and 2020,36081030903,4030903,YES,2,0.04,56
2019 and 2020,36081030904,4030904,NO,6,0.75,8
2019 and 2020,36081030904,4030904,YES,2,0.25,8
2019 and 2020,36081030905,4030905,NO,1,1,1
2019 and 2020,36081030906,4030906,NO,17,0.89,19
2019 and 2020,36081030906,4030906,YES,2,0.11,19
2019 and 2020,36081031700,4031700,NO,10,1,10
2019 and 2020,36081032000,4032000,NO,79,0.8,99
2019 and 2020,36081032000,4032000,YES,20,0.2,99
2019 and 2020,36081032700,4032700,NO,14,1,14
2019 and 2020,36081032900,4032900,NO,24,0.96,25
2019 and 2020,36081032900,4032900,YES,1,0.04,25
2019 and 2020,36081033000,4033000,NO,10,0.91,11
2019 and 2020,36081033000,4033000,YES,1,0.09,11
2019 and 2020,36081033401,4033401,NO,13,0.81,16
2019 and 2020,36081033401,4033401,YES,3,0.19,16
2019 and 2020,36081033405,4033405,NO,17,1,17
2019 and 2020,36081033700,4033700,NO,13,0.93,14
2019 and 2020,36081033700,4033700,YES,1,0.07,14
2019 and 2020,36081033900,4033900,NO,16,1,16
2019 and 2020,36081034700,4034700,NO,8,0.73,11
2019 and 2020,36081034700,4034700,YES,3,0.27,11
2019 and 2020,36081035100,4035100,NO,10,1,10
2019 and 2020,36081035200,4035200,NO,38,0.86,44
2019 and 2020,36081035200,4035200,YES,6,0.14,44
2019 and 2020,36081035300,4035300,NO,21,0.88,24
2019 and 2020,36081035300,4035300,YES,3,0.12,24
2019 and 2020,36081035700,4035700,NO,4,1,4
2019 and 2020,36081035800,4035800,NO,16,0.94,17
2019 and 2020,36081035800,4035800,YES,1,0.06,17
2019 and 2020,36081036100,4036100,NO,7,1,7
2019 and 2020,36081036300,4036300,NO,9,0.82,11
2019 and 2020,36081036300,4036300,YES,2,0.18,11
2019 and 2020,36081036500,4036500,NO,6,0.75,8
2019 and 2020,36081036500,4036500,YES,2,0.25,8
2019 and 2020,36081036600,4036600,NO,33,0.94,35
2019 and 2020,36081036600,4036600,YES,2,0.06,35
2019 and 2020,36081036700,4036700,NO,3,1,3
2019 and 2020,36081036800,4036800,NO,1,0.2,5
2019 and 2020,36081036800,4036800,YES,4,0.8,5
2019 and 2020,36081037300,4037300,NO,6,0.86,7
2019 and 2020,36081037300,4037300,YES,1,0.14,7
2019 and 2020,36081037501,4037501,NO,31,1,31
2019 and 2020,36081037502,4037502,NO,74,0.91,81
2019 and 2020,36081037502,4037502,YES,7,0.09,81
2019 and 2020,36081037600,4037600,NO,10,1,10
2019 and 2020,36081037700,4037700,NO,12,0.86,14
2019 and 2020,36081037700,4037700,YES,2,0.14,14
2019 and 2020,36081037900,4037900,NO,15,0.88,17
2019 and 2020,36081037900,4037900,YES,2,0.12,17
2019 and 2020,36081038100,4038100,NO,2,1,2
2019 and 2020,36081038301,4038301,NO,32,0.94,34
2019 and 2020,36081038301,4038301,YES,2,0.06,34
2019 and 2020,36081038400,4038400,NO,8,1,8
2019 and 2020,36081039400,4039400,NO,9,0.9,10
2019 and 2020,36081039400,4039400,YES,1,0.1,10
2019 and 2020,36081039800,4039800,NO,4,0.8,5
2019 and 2020,36081039800,4039800,YES,1,0.2,5
2019 and 2020,36081039901,4039901,NO,17,0.94,18
2019 and 2020,36081039901,4039901,YES,1,0.06,18
2019 and 2020,36081039902,4039902,NO,3,0.5,6
2019 and 2020,36081039902,4039902,YES,3,0.5,6
2019 and 2020,36081040000,4040000,NO,5,1,5
2019 and 2020,36081040101,4040101,NO,5,0.83,6
2019 and 2020,36081040101,4040101,YES,1,0.17,6
2019 and 2020,36081040102,4040102,NO,14,0.88,16
2019 and 2020,36081040102,4040102,YES,2,0.12,16
2019 and 2020,36081040301,4040301,NO,19,1,19
2019 and 2020,36081040302,4040302,NO,27,0.96,28
2019 and 2020,36081040302,4040302,YES,1,0.04,28
2019 and 2020,36081040400,4040400,NO,3,1,3
2019 and 2020,36081040501,4040501,NO,55,0.95,58
2019 and 2020,36081040501,4040501,YES,3,0.05,58
2019 and 2020,36081040502,4040502,NO,54,0.89,61
2019 and 2020,36081040502,4040502,YES,7,0.11,61
2019 and 2020,36081040701,4040701,NO,14,0.88,16
2019 and 2020,36081040701,4040701,YES,2,0.12,16
2019 and 2020,36081040702,4040702,NO,31,1,31
2019 and 2020,36081040901,4040901,NO,6,0.86,7
2019 and 2020,36081040901,4040901,YES,1,0.14,7
2019 and 2020,36081040902,4040902,NO,13,1,13
2019 and 2020,36081041300,4041300,NO,14,1,14
2019 and 2020,36081041400,4041400,NO,4,0.5,8
2019 and 2020,36081041400,4041400,YES,4,0.5,8
2019 and 2020,36081041500,4041500,NO,19,1,19
2019 and 2020,36081042400,4042400,NO,6,0.86,7
2019 and 2020,36081042400,4042400,YES,1,0.14,7
2019 and 2020,36081042700,4042700,NO,30,1,30
2019 and 2020,36081043200,4043200,NO,6,1,6
2019 and 2020,36081043701,4043701,NO,2,1,2
2019 and 2020,36081043702,4043702,NO,7,1,7
2019 and 2020,36081043900,4043900,NO,21,1,21
2019 and 2020,36081044000,4044000,NO,14,1,14
2019 and 2020,36081044301,4044301,NO,13,1,13
2019 and 2020,36081044302,4044302,NO,26,1,26
2019 and 2020,36081044400,4044400,NO,103,0.93,111
2019 and 2020,36081044400,4044400,YES,8,0.07,111
2019 and 2020,36081044601,4044601,NO,152,0.92,165
2019 and 2020,36081044601,4044601,YES,13,0.08,165
2019 and 2020,36081044602,4044602,NO,46,0.94,49
2019 and 2020,36081044602,4044602,YES,3,0.06,49
2019 and 2020,36081044800,4044800,NO,7,1,7
2019 and 2020,36081045000,4045000,NO,11,1,11
2019 and 2020,36081045400,4045400,NO,22,0.96,23
2019 and 2020,36081045400,4045400,YES,1,0.04,23
2019 and 2020,36081045500,4045500,NO,30,0.7,43
2019 and 2020,36081045500,4045500,YES,13,0.3,43
2019 and 2020,36081045800,4045800,NO,33,0.82,40
2019 and 2020,36081045800,4045800,YES,7,0.17,40
2019 and 2020,36081046000,4046000,NO,59,0.92,64
2019 and 2020,36081046000,4046000,YES,5,0.08,64
2019 and 2020,36081046100,4046100,NO,34,1,34
2019 and 2020,36081046200,4046200,NO,37,0.95,39
2019 and 2020,36081046200,4046200,YES,2,0.05,39
2019 and 2020,36081046300,4046300,NO,14,1,14
2019 and 2020,36081046500,4046500,NO,65,0.97,67
2019 and 2020,36081046500,4046500,YES,2,0.03,67
2019 and 2020,36081046600,4046600,NO,50,1,50
2019 and 2020,36081046800,4046800,NO,11,0.85,13
2019 and 2020,36081046800,4046800,YES,2,0.15,13
2019 and 2020,36081046901,4046901,NO,16,1,16
2019 and 2020,36081046902,4046902,NO,13,1,13
2019 and 2020,36081047000,4047000,NO,15,0.88,17
2019 and 2020,36081047000,4047000,YES,2,0.12,17
2019 and 2020,36081047100,4047100,NO,32,1,32
2019 and 2020,36081047200,4047200,NO,5,1,5
2019 and 2020,36081047300,4047300,NO,24,1,24
2019 and 2020,36081047500,4047500,NO,44,0.92,48
2019 and 2020,36081047500,4047500,YES,4,0.08,48
2019 and 2020,36081047801,4047801,NO,31,0.94,33
2019 and 2020,36081047801,4047801,YES,2,0.06,33
2019 and 2020,36081047802,4047802,NO,20,1,20
2019 and 2020,36081047900,4047900,NO,26,0.96,27
